1	((5,85),     ,     ,     )	U
2	((5,86),     ,     ,     )	V
3	((5,77),     ,     ,     )	M
4	((5,88),     ,     ,     )	X
5	((5,89),     ,     ,     )	Y
6	((2,21),     ,     ,(5,93))	PROGRAM MAIN
7	((1,4),(3,53),     ,(5,85))	U=5
8	((1,4),(3,55),     ,(5,86))	V=7
9	((5,18),     ,     ,(5,85))	ARG U
10	((5,18),     ,     ,(5,86))	ARG V
11	((5,18),     ,     ,(5,77))	ARG M
12	((2,3),(3,51),     ,(5,32))	CALL S1
13	((2,6),     ,     ,     )	ENP
14	((2,23),     ,     ,(5,32))	SUBROUTINE S1
15	((5,69),     ,     ,(5,88))	PARAM X
16	((5,69),     ,     ,(5,89))	PARAM Y
17	((5,69),     ,     ,(5,77))	PARAM M
18	((1,5),(5,88),(5,89),(0,1))	T1=X+Y
19	((1,5),(0,1),(4,51),(0,2))	T2=T1+2.7
20	((1,4),(0,2),     ,(5,77))	M=T2
21	((2,7),     ,     ,     )	ENS
