1	((5,88),     ,     ,     )	X
2	((5,89),     ,     ,     )	Y
3	((5,73),     ,     ,     )	I
4	((5,65),     ,     ,     )	A
5	((5,82),     ,     ,     )	L91
6	((5,83),     ,     ,     )	L92
7	((2,21),     ,     ,(5,14))	PROGRAM A1
8	((1,4),(3,49),     ,(5,73))	I=1
9	((1,4),(3,53),     ,(5,88))	X=5
10	((1,4),(3,98),     ,(5,89))	Y=11
11	((2,15),     ,     ,(5,82))	L91
12	((2,10),(5,88),(5,89),(0,1))	T1=X GT Y
13	((2,12),(0,1),     ,(5,25))	IF T1 == FALSE GO TO L1
14	((2,11),     ,     ,(5,83))	GTO L92
15	((2,15),     ,     ,(5,25))	L1
16	((1,5),(5,88),(3,50),(0,2))	T2=X+2
17	((1,4),(0,2),     ,(5,88))	X=T2
18	((1,4),(5,88),(5,73),(5,65))	A(I)=X
19	((1,5),(5,73),(3,49),(0,3))	T3=I+1
20	((1,4),(0,3),     ,(5,73))	I=T3
21	((2,11),     ,     ,(5,82))	GTO L91
22	((2,15),     ,     ,(5,83))	L92
23	((2,6),     ,     ,     )	ENP
